# wavelegth, radience
1.270999999999999986e-06 1.616997189526609375e+12
1.281000000000000102e-06 1.595284734969253662e+12
1.291000000000000006e-06 1.573762372338293945e+12
1.300999999999999910e-06 1.552436344691044922e+12
1.311000000000000026e-06 1.531312283105665039e+12
1.320999999999999931e-06 1.510395242021381348e+12
1.331000000000000047e-06 1.489689732917866943e+12
1.340999999999999951e-06 1.469199756390244385e+12
1.351000000000000067e-06 1.448928832676429932e+12
1.360999999999999971e-06 1.428880030693608154e+12
1.371000000000000087e-06 1.409055995640310303e+12
1.380999999999999992e-06 1.389458975219987549e+12
1.390999999999999896e-06 1.370090844541258545e+12
1.401000000000000012e-06 1.350953129749044678e+12
1.410999999999999916e-06 1.332047030439700684e+12
1.421000000000000032e-06 1.313373440912073975e+12
1.430999999999999936e-06 1.294932970305089844e+12
1.441000000000000052e-06 1.276725961671075684e+12
1.450999999999999957e-06 1.258752510032610352e+12
1.461000000000000073e-06 1.241012479469179932e+12
1.470999999999999977e-06 1.223505519278408447e+12
1.481000000000000093e-06 1.206231079255111084e+12
1.490999999999999997e-06 1.189188424129858398e+12
1.500999999999999901e-06 1.172376647207228271e+12
1.511000000000000017e-06 1.155794683242372070e+12
1.520999999999999922e-06 1.139441320593033447e+12
1.531000000000000038e-06 1.123315212682660400e+12
1.540999999999999942e-06 1.107414888808793457e+12
1.551000000000000058e-06 1.091738764329482300e+12
1.560999999999999962e-06 1.076285150259108765e+12
1.571000000000000078e-06 1.061052262303591675e+12
1.580999999999999982e-06 1.046038229363684448e+12
1.591000000000000098e-06 1.031241101533742310e+12
1.601000000000000003e-06 1.016658857622145630e+12
1.610999999999999907e-06 1.002289412218315430e+12
1.621000000000000023e-06 9.881306223301552734e+11
1.630999999999999927e-06 9.741802936145889893e+11
1.641000000000000043e-06 9.604361862228201904e+11
1.650999999999999948e-06 9.468960202808963623e+11
1.661000000000000064e-06 9.335574810251661377e+11
1.670999999999999968e-06 9.204182236112777100e+11
1.681000000000000084e-06 9.074758776144294434e+11
1.690999999999999988e-06 8.947280512377397461e+11
1.701000000000000104e-06 8.821723352447410889e+11
1.711000000000000008e-06 8.698063066312113037e+11
1.720999999999999913e-06 8.576275320507930908e+11
1.731000000000000029e-06 8.456335710081141357e+11
1.740999999999999933e-06 8.338219788324249268e+11
1.751000000000000049e-06 8.221903094441066895e+11
1.760999999999999953e-06 8.107361179257598877e+11
1.771000000000000069e-06 7.994569629089848633e+11
1.780999999999999973e-06 7.883504087873879395e+11
1.791000000000000089e-06 7.774140277657875977e+11
1.800999999999999994e-06 7.666454017550886230e+11
1.810999999999999898e-06 7.560421241217700195e+11
1.821000000000000014e-06 7.456018013004887695e+11
1.830999999999999918e-06 7.353220542778215332e+11
1.841000000000000034e-06 7.252005199547567139e+11
1.850999999999999938e-06 7.152348523951407471e+11
1.861000000000000054e-06 7.054227239668800049e+11
1.870999999999999959e-06 6.957618263823549805e+11
1.881000000000000075e-06 6.862498716441416016e+11
1.890999999999999979e-06 6.768845929017999268e+11
1.901000000000000095e-06 6.676637452251877441e+11
1.910999999999999999e-06 6.585851062994497070e+11
1.920999999999999904e-06 6.496464770465567627e+11
1.930999999999999808e-06 6.408456821779899902e+11
1.941000000000000136e-06 6.321805706829270020e+11
1.951000000000000040e-06 6.236490162560310059e+11
1.960999999999999944e-06 6.152489176687266846e+11
1.970999999999999848e-06 6.069781990876170654e+11
1.981000000000000176e-06 5.988348103435068359e+11
1.991000000000000080e-06 5.908167271542928467e+11
2.000999999999999985e-06 5.829219513047924805e+11
2.010999999999999889e-06 5.751485107864248047e+11
2.020999999999999793e-06 5.674944598994787598e+11
2.031000000000000121e-06 5.599578793205473633e+11
2.041000000000000025e-06 5.525368761375700684e+11
2.050999999999999929e-06 5.452295838547737427e+11
2.060999999999999834e-06 5.380341623696722412e+11
2.071000000000000161e-06 5.309487979241683960e+11
2.081000000000000066e-06 5.239717030316730957e+11
2.090999999999999970e-06 5.171011163820402832e+11
2.100999999999999874e-06 5.103353027260353394e+11
2.111000000000000202e-06 5.036725527409169312e+11
2.121000000000000106e-06 4.971111828786531982e+11
2.131000000000000011e-06 4.906495351981746826e+11
2.140999999999999915e-06 4.842859771830046997e+11
2.150999999999999819e-06 4.780189015455101318e+11
2.161000000000000147e-06 4.718467260189509277e+11
2.171000000000000051e-06 4.657678931384312744e+11
2.180999999999999955e-06 4.597808700117830811e+11
2.190999999999999860e-06 4.538841480813604736e+11
2.201000000000000187e-06 4.480762428776513672e+11
2.211000000000000092e-06 4.423556937655629272e+11
2.220999999999999996e-06 4.367210636841771851e+11
2.230999999999999900e-06 4.311709388807337036e+11
2.240999999999999804e-06 4.257039286395343628e+11
2.251000000000000132e-06 4.203186650064302979e+11
2.261000000000000036e-06 4.150138025095051880e+11
2.270999999999999941e-06 4.097880178765242310e+11
2.280999999999999845e-06 4.046400097496912231e+11
2.291000000000000173e-06 3.995684983982078857e+11
2.301000000000000077e-06 3.945722254291045532e+11
2.310999999999999981e-06 3.896499534967750854e+11
2.320999999999999885e-06 3.848004660116209106e+11
2.330999999999999790e-06 3.800225668481804199e+11
2.341000000000000117e-06 3.753150800530911255e+11
2.351000000000000022e-06 3.706768495532128906e+11
2.360999999999999926e-06 3.661067388642070312e+11
2.370999999999999830e-06 3.616036307998548584e+11
2.381000000000000158e-06 3.571664271823709106e+11
2.391000000000000062e-06 3.527940485539476318e+11
2.400999999999999967e-06 3.484854338897517700e+11
2.410999999999999871e-06 3.442395403125747681e+11
2.421000000000000199e-06 3.400553428093201904e+11
2.431000000000000103e-06 3.359318339495020142e+11
2.441000000000000007e-06 3.318680236059034424e+11
2.450999999999999911e-06 3.278629386775433350e+11
2.460999999999999816e-06 3.239156228150769043e+11
2.471000000000000143e-06 3.200251361487474976e+11
2.481000000000000048e-06 3.161905550189966431e+11
2.490999999999999952e-06 3.124109717098238525e+11
2.500999999999999856e-06 3.086854941849887695e+11
2.511000000000000184e-06 3.050132458271226807e+11
2.521000000000000088e-06 3.013933651798245850e+11
2.530999999999999992e-06 2.978250056927954712e+11
2.540999999999999897e-06 2.943073354700668945e+11
2.550999999999999801e-06 2.908395370213640747e+11
2.561000000000000129e-06 2.874208070166449585e+11
2.571000000000000033e-06 2.840503560438458862e+11
2.580999999999999937e-06 2.807274083698579712e+11
2.590999999999999841e-06 2.774512017047575684e+11
2.601000000000000169e-06 2.742209869693043213e+11
2.611000000000000073e-06 2.710360280657190552e+11
2.620999999999999978e-06 2.678956016517454529e+11
2.630999999999999882e-06 2.647989969180017700e+11
2.641000000000000210e-06 2.617455153686174622e+11
2.651000000000000114e-06 2.587344706051531372e+11
2.661000000000000018e-06 2.557651881137921143e+11
2.670999999999999923e-06 2.528370050557968140e+11
2.680999999999999827e-06 2.499492700612130737e+11
2.691000000000000155e-06 2.471013430258068542e+11
2.701000000000000059e-06 2.442925949112162170e+11
2.710999999999999963e-06 2.415224075482947693e+11
2.720999999999999867e-06 2.387901734436263733e+11
2.731000000000000195e-06 2.360952955891870117e+11
2.741000000000000099e-06 2.334371872751237488e+11
2.751000000000000004e-06 2.308152719056282654e+11
2.760999999999999908e-06 2.282289828178717957e+11
2.770999999999999812e-06 2.256777631039730835e+11
2.781000000000000140e-06 2.231610654359681396e+11
2.791000000000000044e-06 2.206783518937492371e+11
2.800999999999999948e-06 2.182290937959381104e+11
2.810999999999999853e-06 2.158127715336624756e+11
2.821000000000000180e-06 2.134288744071995239e+11
2.831000000000000085e-06 2.110769004654497070e+11
2.840999999999999989e-06 2.087563563482081909e+11
2.850999999999999893e-06 2.064667571311946411e+11
2.860999999999999797e-06 2.042076261738069458e+11
2.871000000000000125e-06 2.019784949695604858e+11
2.881000000000000030e-06 1.997789029991766052e+11
2.890999999999999934e-06 1.976083975862825317e+11
2.900999999999999838e-06 1.954665337556852417e+11
2.911000000000000166e-06 1.933528740941830139e+11
2.921000000000000070e-06 1.912669886138743591e+11
2.930999999999999974e-06 1.892084546179295044e+11
2.940999999999999879e-06 1.871768565687858887e+11
2.951000000000000206e-06 1.851717859587293701e+11
2.961000000000000111e-06 1.831928411828259277e+11
2.971000000000000015e-06 1.812396274141644897e+11
2.980999999999999919e-06 1.793117564813756409e+11
2.990999999999999823e-06 1.774088467483881836e+11
