# wavelegth, radience
1.000000000000000062e-09 0.000000000000000000e+00
1.099999999999999924e-08 1.816993411097049251e-90
2.099999999999999945e-08 9.016435932496021087e-38
3.099999999999999966e-08 2.023165035161433694e-19
4.100000000000000317e-08 3.399232724483396752e-10
5.100000000000000007e-08 1.081540732455915936e-04
6.100000000000000359e-08 4.595145694271379200e-01
7.100000000000000049e-08 1.652519956830686567e+02
8.099999999999999739e-08 1.273610680383211911e+04
9.099999999999999429e-08 3.529316530164807918e+05
1.010000000000000044e-07 4.797297255774586461e+06
1.110000000000000013e-07 3.896749356305799633e+07
1.210000000000000115e-07 2.157019922987270057e+08
1.309999999999999951e-07 8.909075794051673412e+08
1.410000000000000053e-07 2.928672124256702423e+09
1.509999999999999889e-07 8.032410483064622879e+09
1.609999999999999991e-07 1.903928989850838852e+10
1.710000000000000092e-07 4.006141935419210815e+10
1.809999999999999929e-07 7.639820144338815308e+10
1.910000000000000030e-07 1.342143180522893066e+11
2.010000000000000131e-07 2.200422251654694519e+11
2.109999999999999968e-07 3.402042717276602173e+11
2.210000000000000069e-07 5.002533704169508667e+11
2.309999999999999906e-07 7.045109725650781250e+11
2.410000000000000007e-07 9.557496555364036865e+11
2.510000000000000109e-07 1.255035882675972412e+12
2.610000000000000210e-07 1.601723168729210449e+12
2.709999999999999782e-07 1.993569545537424316e+12
2.809999999999999883e-07 2.426945526805616211e+12
2.909999999999999985e-07 2.897097853226859863e+12
3.010000000000000086e-07 3.398437856407242676e+12
3.110000000000000187e-07 3.924829212664415527e+12
3.209999999999999759e-07 4.469856556915698242e+12
3.309999999999999861e-07 5.027062824562297852e+12
3.409999999999999962e-07 5.590148686032352539e+12
3.510000000000000064e-07 6.153131785588438477e+12
3.610000000000000165e-07 6.710466676564088867e+12
3.709999999999999737e-07 7.257128477191772461e+12
3.809999999999999838e-07 7.788664535185302734e+12
3.909999999999999940e-07 8.301218981292861328e+12
4.010000000000000041e-07 8.791535155855997070e+12
4.110000000000000142e-07 9.256940665470707031e+12
4.210000000000000244e-07 9.695319395637328125e+12
4.309999999999999816e-07 1.010507426598276172e+13
4.409999999999999917e-07 1.048508393663216016e+13
4.510000000000000018e-07 1.083465610485069141e+13
4.610000000000000120e-07 1.115347950007180664e+13
4.710000000000000221e-07 1.144157620977094336e+13
4.810000000000000322e-07 1.169925555590151172e+13
4.910000000000000424e-07 1.192707039298716797e+13
5.010000000000000525e-07 1.212577641156328516e+13
5.109999999999999568e-07 1.229629479917947461e+13
5.209999999999999669e-07 1.243967842909966406e+13
5.309999999999999770e-07 1.255708160726280664e+13
5.409999999999999872e-07 1.264973330424677539e+13
5.509999999999999973e-07 1.271891372462435156e+13
5.610000000000000074e-07 1.276593401557823047e+13
5.710000000000000176e-07 1.279211888503215234e+13
5.810000000000000277e-07 1.279879188265636719e+13
5.910000000000000378e-07 1.278726309140029883e+13
6.010000000000000480e-07 1.275881897980102734e+13
6.109999999999999522e-07 1.271471417386227930e+13
6.209999999999999624e-07 1.265616491992644531e+13
6.309999999999999725e-07 1.258434402520223047e+13
6.409999999999999826e-07 1.250037707932636328e+13
6.509999999999999928e-07 1.240533977767440039e+13
6.610000000000000029e-07 1.230025618445533398e+13
6.710000000000000130e-07 1.218609779047346680e+13
6.810000000000000232e-07 1.206378323650424219e+13
6.910000000000000333e-07 1.193417858830258594e+13
7.010000000000000435e-07 1.179809806322498633e+13
7.109999999999999477e-07 1.165630512124268164e+13
7.209999999999999578e-07 1.150951384474322852e+13
7.309999999999999680e-07 1.135839054198752539e+13
7.409999999999999781e-07 1.120355551845603516e+13
7.509999999999999883e-07 1.104558496864491992e+13
7.609999999999999984e-07 1.088501294823331250e+13
7.710000000000000085e-07 1.072233339301431250e+13
7.810000000000000187e-07 1.055800215664231055e+13
7.910000000000000288e-07 1.039243904417695703e+13
8.010000000000000389e-07 1.022602982267187109e+13
8.110000000000000491e-07 1.005912819373685938e+13
8.209999999999999533e-07 9.892057716159912109e+12
8.309999999999999635e-07 9.725113669371228516e+12
8.409999999999999736e-07 9.558564850821435547e+12
8.509999999999999837e-07 9.392655302279800781e+12
8.609999999999999939e-07 9.227605961681960938e+12
8.710000000000000040e-07 9.063616238509728516e+12
8.810000000000000141e-07 8.900865511805896484e+12
8.910000000000000243e-07 8.739514550844850586e+12
9.010000000000000344e-07 8.579706859225156250e+12
9.110000000000000445e-07 8.421569943747225586e+12
9.209999999999999488e-07 8.265216509909847656e+12
9.309999999999999589e-07 8.110745586222708008e+12
9.409999999999999691e-07 7.958243579805113281e+12
9.509999999999999792e-07 7.807785265937846680e+12
9.609999999999999893e-07 7.659434714368433594e+12
9.710000000000001053e-07 7.513246155250357422e+12
9.810000000000000096e-07 7.369264787634076172e+12
9.909999999999999139e-07 7.227527533428671875e+12
1.001000000000000030e-06 7.088063739725835938e+12
1.010999999999999934e-06 6.950895832327539062e+12
1.021000000000000050e-06 6.816039923250136719e+12
1.030999999999999954e-06 6.683506374895601562e+12
1.041000000000000070e-06 6.553300323487575195e+12
1.050999999999999975e-06 6.425422164269831055e+12
1.061000000000000091e-06 6.299868000859391602e+12
1.070999999999999995e-06 6.176630061038153320e+12
1.080999999999999899e-06 6.055697081157100586e+12
1.091000000000000015e-06 5.937054661217470703e+12
1.100999999999999919e-06 5.820685592584380859e+12
1.111000000000000035e-06 5.706570160181569336e+12
1.120999999999999940e-06 5.594686420911768555e+12
1.131000000000000056e-06 5.485010459945916016e+12
1.140999999999999960e-06 5.377516626426850586e+12
1.151000000000000076e-06 5.272177750039284180e+12
1.160999999999999980e-06 5.168965339807887695e+12
1.171000000000000096e-06 5.067849766399480469e+12
1.181000000000000001e-06 4.968800429123765625e+12
1.190999999999999905e-06 4.871785908749274414e+12
1.201000000000000021e-06 4.776774107177836914e+12
1.210999999999999925e-06 4.683732374951437500e+12
1.221000000000000041e-06 4.592627627499605469e+12
1.230999999999999945e-06 4.503426450973875000e+12
1.241000000000000061e-06 4.416095198457671875e+12
1.250999999999999966e-06 4.330600077285393066e+12
1.261000000000000082e-06 4.246907228153188477e+12
1.270999999999999986e-06 4.164982796656044922e+12
1.281000000000000102e-06 4.084792997840702148e+12
1.291000000000000006e-06 4.006304174321960449e+12
1.300999999999999910e-06 3.929482848470571289e+12
1.311000000000000026e-06 3.854295769144328125e+12
1.320999999999999931e-06 3.780709953399531738e+12
1.331000000000000047e-06 3.708692723588264648e+12
1.340999999999999951e-06 3.638211740217064453e+12
1.351000000000000067e-06 3.569235030914766113e+12
1.360999999999999971e-06 3.501731015831713379e+12
1.371000000000000087e-06 3.435668529768295898e+12
1.380999999999999992e-06 3.371016841308597168e+12
1.390999999999999896e-06 3.307745669214072266e+12
1.401000000000000012e-06 3.245825196313042480e+12
1.410999999999999916e-06 3.185226081103710449e+12
1.421000000000000032e-06 3.125919467271877441e+12
