# wavelegth, radience
1.000000000000000062e-09 0.000000000000000000e+00
1.099999999999999924e-08 8.504415629410308117e-75
2.099999999999999945e-08 1.456406581976565132e-29
3.099999999999999966e-08 7.352875181942188879e-14
4.100000000000000317e-08 5.440080761204411709e-06
5.100000000000000007e-08 2.593639390879480811e-01
6.100000000000000359e-08 3.076730724949770206e+02
7.100000000000000049e-08 4.425254941011322080e+04
8.099999999999999739e-08 1.710412725946818944e+06
9.099999999999999429e-08 2.766314959376694262e+07
1.010000000000000044e-07 2.441529632206929326e+08
1.110000000000000013e-07 1.391919776855292320e+09
1.210000000000000115e-07 5.733582650969900131e+09
1.309999999999999951e-07 1.843565738632180023e+10
1.410000000000000053e-07 4.888501403451660919e+10
1.509999999999999889e-07 1.112731315101240692e+11
1.609999999999999991e-07 2.240226013686899414e+11
1.710000000000000092e-07 4.080909384334109497e+11
1.809999999999999929e-07 6.845760481513201904e+11
1.910000000000000030e-07 1.072203493139493408e+12
2.010000000000000131e-07 1.585206273697670410e+12
2.109999999999999968e-07 2.231912968670105957e+12
2.210000000000000069e-07 3.014144697011020508e+12
2.309999999999999906e-07 3.927352021452347656e+12
2.410000000000000007e-07 4.961323293708429688e+12
2.510000000000000109e-07 6.101260572644350586e+12
2.610000000000000210e-07 7.329029598338307617e+12
2.709999999999999782e-07 8.624426119629171875e+12
2.809999999999999883e-07 9.966345875080195312e+12
2.909999999999999985e-07 1.133378904022808789e+13
3.010000000000000086e-07 1.270666632456157227e+13
3.110000000000000187e-07 1.406640112331529688e+13
3.209999999999999759e-07 1.539634043690422461e+13
3.309999999999999861e-07 1.668199803407930273e+13
3.409999999999999962e-07 1.791115831294003906e+13
3.510000000000000064e-07 1.907387022161822266e+13
3.610000000000000165e-07 2.016235889705020703e+13
3.709999999999999737e-07 2.117087950009366797e+13
3.809999999999999838e-07 2.209553388726324219e+13
3.909999999999999940e-07 2.293406681383242969e+13
4.010000000000000041e-07 2.368565464980440234e+13
4.110000000000000142e-07 2.435069629474775781e+13
4.210000000000000244e-07 2.493061317851245703e+13
4.309999999999999816e-07 2.542766294199159375e+13
4.409999999999999917e-07 2.584476957362890234e+13
4.510000000000000018e-07 2.618537137971102734e+13
4.610000000000000120e-07 2.645328712733069531e+13
4.710000000000000221e-07 2.665259995545844141e+13
4.810000000000000322e-07 2.678755814330685547e+13
4.910000000000000424e-07 2.686249150433684375e+13
5.010000000000000525e-07 2.688174199469073828e+13
5.109999999999999568e-07 2.684960705000398828e+13
5.209999999999999669e-07 2.677029416492785156e+13
5.309999999999999770e-07 2.664788528197854297e+13
5.409999999999999872e-07 2.648630964248389453e+13
5.509999999999999973e-07 2.628932385877476172e+13
5.610000000000000074e-07 2.606049808326977344e+13
5.710000000000000176e-07 2.580320726945517969e+13
5.810000000000000277e-07 2.552062663689887109e+13
5.910000000000000378e-07 2.521573056398934375e+13
6.010000000000000480e-07 2.489129423595514062e+13
6.109999999999999522e-07 2.454989747074698438e+13
6.209999999999999624e-07 2.419393023107423438e+13
6.309999999999999725e-07 2.382559940728803906e+13
6.409999999999999826e-07 2.344693652321368359e+13
6.509999999999999928e-07 2.305980607599403516e+13
6.610000000000000029e-07 2.266591427215852734e+13
6.710000000000000130e-07 2.226681796619491797e+13
6.810000000000000232e-07 2.186393364559580469e+13
6.910000000000000333e-07 2.145854633838937109e+13
7.010000000000000435e-07 2.105181834621797266e+13
7.109999999999999477e-07 2.064479772872968750e+13
7.209999999999999578e-07 2.023842648396755859e+13
7.309999999999999680e-07 1.983354838510268750e+13
7.409999999999999781e-07 1.943091644672068750e+13
7.509999999999999883e-07 1.903120000435142578e+13
7.609999999999999984e-07 1.863499139938591797e+13
7.710000000000000085e-07 1.824281226827228906e+13
7.810000000000000187e-07 1.785511944019344922e+13
7.910000000000000288e-07 1.747231045154244922e+13
8.010000000000000389e-07 1.709472868862817773e+13
8.110000000000000491e-07 1.672266817233766992e+13
8.209999999999999533e-07 1.635637800009985156e+13
8.309999999999999635e-07 1.599606646156414648e+13
8.409999999999999736e-07 1.564190484503010156e+13
8.509999999999999837e-07 1.529403095193214844e+13
8.609999999999999939e-07 1.495255233666826953e+13
8.710000000000000040e-07 1.461754928882706836e+13
8.810000000000000141e-07 1.428907757446359180e+13
8.910000000000000243e-07 1.396717095254450391e+13
9.010000000000000344e-07 1.365184348206061914e+13
9.110000000000000445e-07 1.334309163461987305e+13
9.209999999999999488e-07 1.304089622660691602e+13
9.309999999999999589e-07 1.274522418424763086e+13
9.409999999999999691e-07 1.245603015416084570e+13
9.509999999999999792e-07 1.217325797122721680e+13
9.609999999999999893e-07 1.189684199486651562e+13
9.710000000000001053e-07 1.162670832409465234e+13
9.810000000000000096e-07 1.136277590103708203e+13
9.909999999999999139e-07 1.110495751190848438e+13
1.001000000000000030e-06 1.085316069383251172e+13
1.010999999999999934e-06 1.060728855527129102e+13
1.021000000000000050e-06 1.036724051726334375e+13
1.030999999999999954e-06 1.013291298213029688e+13
1.041000000000000070e-06 9.904199935807029297e+12
1.050999999999999975e-06 9.680993489476310547e+12
1.061000000000000091e-06 9.463184365746443359e+12
1.070999999999999995e-06 9.250662334197222656e+12
1.080999999999999899e-06 9.043316600735660156e+12
1.091000000000000015e-06 8.841036154845767578e+12
1.100999999999999919e-06 8.643710078485229492e+12
1.111000000000000035e-06 8.451227820075313477e+12
1.120999999999999940e-06 8.263479436746104492e+12
1.131000000000000056e-06 8.080355807736822266e+12
1.140999999999999960e-06 7.901748821608740234e+12
1.151000000000000076e-06 7.727551539704622070e+12
1.160999999999999980e-06 7.557658338082707031e+12
1.171000000000000096e-06 7.391965029963489258e+12
1.181000000000000001e-06 7.230368970553262695e+12
1.190999999999999905e-06 7.072769145947499023e+12
